Name                |4        |18       |38       |54       |68       |Total
rgb                 |0.051    |0.002    |0.003    |0.002    |0.002    |1.37
semantic_mask..163_0|0.687    |0.688    |0.69     |0.651    |0.691    |81.47
semantic_mask..528_0|0.907    |0.895    |0.898    |0.881    |0.9      |97.92
semantic_mask..528_1|0.465    |0.464    |0.466    |0.465    |0.463    |49.8
depth_marigold      |5.72     |0.899    |0.911    |0.916    |0.921    |115.5
semantic_mask..erted|0.321    |0.316    |0.314    |0.314    |0.315    |31.56
semantic_mask..erted|0.193    |0.193    |0.194    |0.194    |0.195    |19.41
semantic_mask..erted|0.194    |0.193    |0.194    |0.192    |0.194    |19.33
buildings           |0.649    |0.654    |0.648    |0.662    |0.688    |65.89
sky-and-water       |0.65     |0.648    |0.648    |0.648    |0.648    |64.84
transportation      |0.648    |0.651    |0.647    |0.648    |0.648    |64.82
containing          |0.647    |0.648    |0.647    |0.647    |0.652    |64.8
vegetation          |0.646    |0.648    |0.647    |0.647    |0.647    |64.8
normals_svd(d..gold)|6.471    |6.435    |6.466    |6.456    |6.508    |646.28
buildings(nearby)   |0.653    |0.651    |0.651    |0.651    |0.65     |65.12
semantic_output     |0.121    |0.106    |0.099    |0.106    |0.11     |10.24
safe-landing-no-sseg|0.068    |0.067    |0.072    |0.067    |0.029    |5.27
safe-landing-..ntics|0.532    |0.529    |0.531    |0.529    |0.533    |53.1

