,durations_s
0,0.00644
1,0.003117
2,0.002908
3,0.003104
4,0.003054
5,0.003068
6,0.003041
7,0.002894
8,0.003059
9,0.003005
10,0.00296
11,0.002965
12,0.00311
13,0.003195
14,0.002889
15,0.002885
16,0.002897
17,0.002915
18,0.003052
19,0.003057
20,0.003323
21,0.003128
22,0.003026
23,0.003142
24,0.003075
25,0.003169
26,0.003295
27,0.003146
28,0.003132
29,0.003205
30,0.003061
31,0.003049
32,0.002967
33,0.003038
34,0.002878
35,0.002926
36,0.002853
37,0.003111
38,0.002856
39,0.003029
40,0.003205
41,0.003315
42,0.003263
43,0.003195
44,0.003029
45,0.003306
46,0.003168
47,0.003169
48,0.003072
49,0.003525
50,0.003476
51,0.003408
52,0.003634
53,0.00323
54,0.003178
55,0.00303
56,0.003204
57,0.003044
58,0.003262
59,0.003034
60,0.003016
61,0.003213
62,0.003172
63,0.003115
64,0.002929
65,0.003092
66,0.003136
67,0.002957
68,0.002983
69,0.002864
70,0.003067
71,0.003024
72,0.002985
73,0.002918
74,0.00277
75,0.002806
76,0.002761
77,0.002713
78,0.002689
79,0.00291
80,0.003026
81,0.002778
82,0.002748
83,0.002839
84,0.003061
85,0.002886
86,0.002773
87,0.002848
88,0.002817
89,0.002818
90,0.002807
91,0.002822
92,0.002825
93,0.002974
94,0.002846
95,0.002976
96,0.00274
97,0.002956
98,0.002765
99,0.002782
100,0.002805
101,0.002798
102,0.002897
103,0.002767
104,0.002866
105,0.002957
106,0.002687
107,0.003025
108,0.002756
109,0.002829
110,0.003017
111,0.002979
112,0.003029
113,0.002976
114,0.002969
115,0.003162
116,0.003089
117,0.002952
118,0.003045
119,0.003004
120,0.002783
121,0.002758
122,0.003036
123,0.002975
124,0.0029
125,0.002969
126,0.002788
127,0.002863
128,0.003019
129,0.002967
130,0.002958
131,0.002745
132,0.002946
133,0.002888
134,0.002948
135,0.002866
136,0.003033
137,0.002865
138,0.002927
139,0.002893
140,0.003036
141,0.002747
142,0.002856
143,0.00284
144,0.002885
145,0.002726
146,0.002798
147,0.002845
148,0.003076
149,0.002798
150,0.002928
151,0.002788
152,0.003027
153,0.002759
154,0.002987
155,0.002734
156,0.002794
157,0.00293
158,0.002947
159,0.00274
160,0.002786
161,0.002823
162,0.002788
163,0.002765
164,0.002835
165,0.002952
166,0.002815
167,0.002919
168,0.002826
169,0.003094
170,0.00302
171,0.002972
172,0.002854
173,0.002761
174,0.003018
175,0.002783
176,0.003101
177,0.002786
178,0.002853
179,0.003001
180,0.002909
181,0.002904
182,0.002991
183,0.00307
184,0.00295
185,0.002902
