,durations_s
0,1.207274
1,0.142827
2,0.134422
3,0.125535
4,0.12631
5,0.127249
6,0.126436
7,0.126036
8,0.126512
9,0.127759
10,0.126154
11,0.126009
12,0.129287
13,0.126753
14,0.125639
15,0.126185
16,0.129935
17,0.12654
18,0.125671
19,0.126056
20,0.129063
21,0.126471
22,0.126075
23,0.126142
24,0.12683
25,0.126963
26,0.125921
27,0.12643
28,0.126768
29,0.126892
30,0.12579
31,0.126256
32,0.126833
33,0.127506
34,0.126252
35,0.12658
36,0.126722
37,0.127007
38,0.126267
39,0.126297
40,0.126939
41,0.127624
42,0.125822
43,0.126466
44,0.129147
45,0.126987
46,0.126178
47,0.126881
48,0.127879
49,0.12678
50,0.126464
51,0.12714
52,0.128003
53,0.12675
54,0.128169
55,0.127867
56,0.126962
57,0.126811
58,0.127327
59,0.127678
60,0.126549
61,0.126915
62,0.127672
63,0.126796
64,0.126878
65,0.127512
66,0.127768
67,0.126921
68,0.12684
69,0.127667
70,0.127426
71,0.126676
72,0.126397
73,0.128981
74,0.126806
75,0.12696
76,0.127649
77,0.12816
78,0.126823
79,0.128108
80,0.127994
81,0.126686
82,0.127344
83,0.128204
84,0.127447
85,0.126962
86,0.127599
87,0.127599
88,0.126576
89,0.12763
90,0.128372
91,0.126404
92,0.128871
93,0.128622
94,0.12791
95,0.12719
96,0.127738
97,0.128348
98,0.127182
99,0.12742
100,0.128055
101,0.223897
102,0.126582
103,0.127375
104,0.127559
105,0.126606
106,0.12687
107,0.127642
108,0.126565
109,0.126566
110,0.127247
111,0.127782
112,0.126956
113,0.126675
114,0.127493
115,0.12733
116,0.126479
117,0.127263
118,0.127732
119,0.12721
120,0.126799
121,0.127881
122,0.127547
123,0.126772
124,0.128052
125,0.128791
126,0.12748
127,0.127715
128,0.128527
129,0.127846
130,0.128002
131,0.128774
132,0.127488
133,0.128236
134,0.129303
135,0.127616
136,0.127872
137,0.1286
138,0.127977
139,0.127764
140,0.128796
141,0.128801
142,0.127579
143,0.12871
144,0.127895
145,0.127938
146,0.128869
147,0.127972
148,0.1285
149,0.12914
150,0.127632
151,0.128169
152,0.129378
153,0.127695
154,0.127553
155,0.128717
156,0.127477
157,0.127618
158,0.129084
159,0.127558
160,0.125093
161,0.129373
162,0.128744
163,0.127054
164,0.127465
165,0.128669
166,0.130505
167,0.129134
168,0.128977
169,0.127836
170,0.128117
171,0.128736
172,0.127314
173,0.128729
174,0.128391
175,0.127662
176,0.128228
177,0.128546
178,0.12744
179,0.12818
180,0.128435
181,0.128004
182,0.128324
183,0.128955
184,0.127956
185,0.12866
186,0.129232
187,0.127828
188,0.129044
189,0.128932
190,0.125471
191,0.130309
192,0.129738
193,0.127917
194,0.129038
195,0.129178
196,0.127591
197,0.129002
198,0.128622
199,0.12785
200,0.129827
201,0.127424
202,0.234447
203,0.128566
204,0.12869
205,0.12946
206,0.128052
207,0.128707
208,0.12918
209,0.127959
210,0.129245
211,0.128599
212,0.128065
213,0.129154
214,0.128578
215,0.128167
216,0.128929
217,0.12843
218,0.128573
219,0.1291
220,0.128237
221,0.128794
222,0.130232
223,0.128271
224,0.128847
225,0.128833
226,0.127852
227,0.128608
228,0.129127
229,0.128359
230,0.129132
231,0.128481
232,0.127899
233,0.129313
234,0.128
235,0.127763
236,0.129205
237,0.12815
238,0.128307
239,0.129006
240,0.128435
241,0.128687
242,0.129416
243,0.128058
244,0.128609
245,0.129583
246,0.127974
247,0.128894
248,0.128977
249,0.128147
250,0.129383
251,0.12853
252,0.128333
253,0.129288
254,0.128332
255,0.128449
256,0.129178
257,0.128147
258,0.128637
259,0.130236
260,0.129605
261,0.129545
262,0.128089
263,0.128282
264,0.128914
265,0.129121
266,0.128446
267,0.12983
268,0.128059
269,0.129164
270,0.129994
271,0.128581
272,0.128904
273,0.12912
274,0.128431
275,0.130277
