,durations_s
0,1.116232
1,0.929727
2,0.914592
3,0.88742
4,0.887098
5,0.884434
6,0.891327
7,0.892737
8,0.894263
9,0.892717
10,0.894348
11,0.896175
12,0.895391
13,0.897996
14,0.900575
15,0.900574
16,0.900067
17,0.904013
18,0.90153
19,0.902834
20,0.903265
21,0.90288
22,0.905621
23,0.905267
24,0.906756
25,0.905742
26,0.906262
27,0.907246
28,0.908443
29,0.907999
30,0.909416
31,0.91143
32,0.909804
33,0.915289
34,0.918022
35,0.949282
36,0.915119
37,0.914767
38,0.915379
39,0.915732
40,0.91657
41,0.916724
42,0.918191
43,0.920908
44,0.920446
45,0.92066
46,0.921655
47,0.920935
48,0.917468
49,0.921927
50,0.92407
51,0.922998
52,0.925167
53,0.925288
54,0.924999
55,0.925012
56,0.925653
57,0.927246
58,0.926862
59,0.92615
60,0.925861
61,0.928176
62,0.928563
63,0.927276
64,0.928574
65,0.929902
66,0.92859
67,0.927323
68,0.928042
69,0.930277
70,0.926906
71,0.931211
72,0.931538
73,0.93038
74,0.929986
75,0.933135
76,0.933323
77,0.934095
78,0.933893
79,0.934145
80,0.934649
81,0.935904
82,0.935575
83,0.934953
84,0.935617
85,0.935635
86,0.936957
87,0.934605
88,0.936485
89,0.93866
90,0.938181
91,0.937259
92,0.939327
93,0.937013
94,0.938872
95,0.940163
96,0.938967
97,0.944486
98,0.940003
99,0.95234
100,0.936552
101,0.940589
102,0.940394
103,0.94023
104,0.939814
105,0.94207
106,0.940771
107,0.940089
108,0.93929
109,0.939982
110,0.941549
111,0.939375
112,0.94124
113,0.941195
114,0.941415
115,0.941893
116,0.94095
117,0.94201
118,0.942129
119,0.944367
120,0.943266
121,0.94218
122,0.942206
123,0.941931
124,0.943239
125,0.943674
126,0.941818
127,0.943004
128,0.943262
129,0.942546
130,0.943114
131,0.943673
132,0.943408
133,0.942938
134,0.943315
135,0.94326
136,0.943095
137,0.943435
138,0.943473
139,0.943512
140,0.943676
141,0.943148
142,0.943976
143,0.943305
144,0.943502
145,0.943429
146,0.943889
147,0.943711
148,0.944494
149,0.944361
150,0.943466
151,0.944635
152,0.944111
153,0.943567
154,0.944882
155,0.944218
156,0.943873
157,0.944405
158,0.945706
159,0.944818
160,0.943867
161,0.946436
162,0.94457
163,0.995408
164,0.94517
165,0.944996
166,0.945021
167,0.94414
168,0.944255
169,0.94433
170,0.948402
171,0.94516
172,0.945848
173,0.944349
174,0.945196
175,0.945491
176,0.945513
177,0.946285
178,0.947626
179,0.946318
180,0.947814
181,0.947894
182,0.947133
183,0.947472
184,0.946969
185,0.947277
186,0.946211
187,0.947899
188,0.946166
189,0.946747
190,0.946697
191,0.947083
192,0.94651
193,0.946413
194,0.946363
195,0.994808
196,0.947365
197,0.948888
198,0.949075
199,0.947255
200,0.946978
201,0.947075
202,0.946818
203,0.946238
204,0.94623
205,0.947517
206,0.947142
207,0.948256
208,0.947209
209,0.945485
210,0.947283
211,0.947503
212,0.947517
213,0.947414
214,0.944421
215,0.947058
216,0.947814
217,0.947015
218,0.947525
219,0.948015
220,0.945277
221,0.946582
222,0.947797
223,0.946552
224,0.947589
225,0.946688
226,0.947154
227,0.947577
228,0.947384
229,0.948486
230,0.94831
231,0.94898
232,0.947642
233,0.947338
234,0.951145
235,0.948552
236,0.947387
237,0.948276
238,0.948374
239,0.947347
240,0.946869
241,0.946791
242,0.948148
243,0.947313
244,0.947264
245,0.949395
246,0.946357
247,0.947403
248,0.947823
249,0.948119
250,0.950114
251,0.947087
252,0.949645
253,0.946147
254,0.945366
255,0.947462
256,0.946571
257,0.957981
258,0.998931
259,0.947412
260,0.947026
261,0.947227
262,0.948035
263,0.946204
264,0.947546
265,0.946487
266,0.947327
267,0.947382
268,0.946742
269,0.94665
270,0.947633
271,0.946593
272,0.946614
273,0.946149
274,0.94786
275,0.946659
276,0.948023
277,0.947547
278,0.947144
279,0.946328
280,0.947853
281,0.947714
282,0.946164
283,0.948371
284,0.947806
285,0.94765
286,0.947219
287,0.948695
288,0.947789
289,0.997578
290,0.972395
291,0.947841
292,0.947243
293,0.94871
294,0.947989
295,0.948151
296,0.946996
297,0.949591
298,0.94899
299,0.947525
300,0.94906
301,0.947735
302,0.947518
303,0.94744
304,0.946089
305,0.94739
306,0.95013
307,0.947468
308,0.947661
309,0.946876
310,0.946869
311,0.947085
312,0.945878
313,0.947937
314,0.948108
315,0.947101
316,0.946919
317,0.948406
318,0.947751
319,0.947499
320,0.950389
321,0.947158
322,0.947587
323,0.947861
324,0.947182
325,0.948535
326,0.949887
327,0.948063
328,0.947935
329,0.948856
330,0.948448
331,0.94662
332,0.947503
333,0.948091
334,0.946754
335,0.947322
336,0.948318
337,0.947648
338,0.948094
339,0.947962
340,0.948289
341,0.948772
342,0.947786
343,0.949397
344,0.948881
345,0.948299
346,0.94899
347,0.948031
348,0.948009
349,0.94783
350,0.948791
351,0.948552
352,0.955844
353,0.985504
354,0.948351
355,0.94892
356,0.947609
357,0.949399
358,0.949279
359,0.94849
360,0.948367
361,0.951026
362,0.949272
363,0.949627
364,0.948438
365,0.948334
366,0.94889
367,0.948265
368,0.948306
369,0.949258
370,0.950706
371,0.948547
372,0.948615
373,0.949607
374,0.948305
375,0.947783
376,0.947322
377,0.946877
378,0.947524
379,0.947584
380,0.948555
381,0.948719
382,0.948608
383,0.947803
384,0.948252
385,0.949162
386,0.948
387,0.946844
388,0.949466
389,0.947772
390,0.947696
391,0.947964
392,0.947672
393,0.947532
394,0.94812
395,0.946523
396,0.948407
397,0.948361
398,0.948301
399,0.947037
400,0.949262
401,0.946877
402,0.94768
403,0.948298
404,0.949024
405,0.948915
406,0.946327
407,0.947262
408,0.947613
409,0.94844
410,0.946831
411,0.946836
412,0.946565
413,0.947418
414,0.947502
415,0.981594
416,0.998193
417,0.948324
418,0.947239
419,0.948203
420,0.947228
421,0.946597
422,0.947765
423,0.947992
424,0.948602
425,0.946956
426,0.947907
427,0.94839
428,0.949474
429,0.948001
430,0.947728
431,0.947954
432,0.947373
433,0.951148
434,0.948436
435,0.948025
436,0.947272
437,0.949021
438,0.947435
439,0.948622
440,0.947477
441,0.948576
442,0.948544
443,0.948521
444,0.948006
445,0.948778
446,0.946925
447,0.976606
448,0.972248
449,0.948521
450,0.947862
451,0.948765
452,0.948299
453,0.948223
454,0.946998
455,0.946951
456,0.948036
457,0.949087
458,0.949464
459,0.947097
460,0.948367
461,0.94894
462,0.948251
463,0.946685
464,0.946898
465,0.947198
466,0.949757
467,0.949894
468,0.948975
469,0.950251
470,0.94888
471,0.949316
472,0.94808
473,0.947498
474,0.948931
475,0.94737
476,0.946799
477,0.94782
478,0.947328
479,0.947629
480,0.946739
481,0.947756
482,0.949493
483,0.949295
484,0.948906
485,0.949481
486,0.949343
487,0.9474
488,0.94852
489,0.947299
490,0.949367
491,0.948657
492,0.94817
493,0.948715
494,0.948842
495,0.94738
496,0.948421
497,0.948553
498,0.949637
499,0.947172
