,durations_s
0,3.454588
1,0.710042
2,0.709224
3,0.708486
4,0.707276
5,0.707402
6,0.709819
7,0.708112
8,0.708093
9,0.708384
10,0.70818
11,0.708276
12,0.707657
13,0.708566
14,0.709379
15,0.708683
16,0.709707
17,0.708073
18,0.707414
19,0.709585
20,0.70822
21,0.709017
22,0.709351
23,0.708162
24,0.708489
25,0.708563
26,0.709553
27,0.709242
28,0.708666
29,0.70999
30,0.711981
31,0.710316
32,0.709294
33,0.709023
34,0.708253
35,0.70954
36,0.708897
37,0.70907
38,0.708399
39,0.708235
40,0.708893
41,0.709955
42,0.708178
43,0.706412
44,0.708804
45,0.708175
46,0.710318
47,0.70837
48,0.707794
49,0.70872
50,0.708431
51,0.708843
52,0.709267
53,0.709511
54,0.708584
55,0.708369
56,0.708571
57,0.708918
58,0.710521
59,0.715554
60,0.709366
61,0.709225
62,0.709353
63,0.709212
64,0.708489
65,0.710348
66,0.708862
67,0.708899
68,0.709925
69,0.707802
70,0.708521
71,0.708803
72,0.709516
73,0.709398
74,0.708577
75,0.709009
76,0.711207
77,0.70874
78,0.708618
79,0.709999
80,0.709342
81,0.708764
82,0.708652
83,0.709381
84,0.708899
85,0.707227
86,0.708584
87,0.709269
88,0.708657
89,0.710982
90,0.708966
91,0.708587
92,0.709415
93,0.709274
94,0.710117
95,0.70789
96,0.708482
97,0.709166
98,0.709432
99,0.711497
100,0.71031
101,0.83505
102,0.71006
103,0.708751
104,0.708623
105,0.708861
106,0.709054
107,0.707869
108,0.709343
109,0.710085
110,0.708816
111,0.708743
112,0.70822
113,0.708512
114,0.708816
115,0.709689
116,0.708817
117,0.708759
118,0.708889
119,0.70937
120,0.709287
121,0.709471
122,0.709339
123,0.709802
124,0.709225
125,0.709873
126,0.708917
127,0.706506
128,0.708932
129,0.710218
130,0.709153
131,0.710413
132,0.708636
133,0.70845
134,0.7106
135,0.71111
136,0.709982
137,0.709016
138,0.70932
139,0.7098
140,0.70917
141,0.709365
142,0.708723
143,0.709621
144,0.709873
145,0.708802
146,0.708439
147,0.70926
148,0.709007
149,0.709215
150,0.709173
151,0.708137
152,0.70962
153,0.708817
154,0.70883
155,0.708784
156,0.709361
157,0.708792
158,0.710063
159,0.709609
160,0.70839
161,0.708356
162,0.709111
163,0.708799
164,0.710461
165,0.709829
166,0.708553
167,0.708797
168,0.708787
169,0.712674
170,0.708516
171,0.710757
172,0.708993
173,0.709107
174,0.711792
175,0.708387
176,0.708931
177,0.709022
178,0.709122
179,0.708502
180,0.706357
181,0.710258
182,0.709552
183,0.709099
184,0.709268
185,0.708809
186,0.708443
187,0.708892
188,0.708879
189,0.709462
190,0.710523
191,0.709704
192,0.708895
193,0.710353
194,0.709856
195,0.70979
196,0.709195
197,0.709157
198,0.710147
199,0.709799
200,0.709258
201,0.710379
202,0.826849
203,0.711574
204,0.709414
205,0.708622
206,0.710924
207,0.709632
208,0.709919
209,0.710069
210,0.711429
211,0.707824
212,0.709474
213,0.709318
214,0.710458
215,0.709704
216,0.709619
217,0.70906
218,0.709478
219,0.709978
220,0.710094
221,0.709659
222,0.708927
223,0.710223
224,0.710383
225,0.710223
226,0.709546
227,0.710649
228,0.710149
229,0.711173
230,0.709142
231,0.709924
232,0.710014
233,0.709975
234,0.709547
235,0.709778
236,0.709879
237,0.710086
238,0.709227
239,0.711661
240,0.710253
241,0.709397
242,0.708858
243,0.7099
244,0.709629
245,0.709636
246,0.712069
247,0.710372
248,0.710303
249,0.709898
250,0.709319
251,0.710567
252,0.709633
253,0.709489
254,0.70862
255,0.709163
256,0.710214
257,0.710244
258,0.710411
259,0.710626
260,0.711205
261,0.710235
262,0.709925
263,0.711175
264,0.710499
265,0.710182
266,0.711003
267,0.710344
268,0.710749
269,0.710564
270,0.709394
271,0.71074
272,0.709937
273,0.710104
274,0.709856
275,0.711436
276,0.710184
277,0.70958
278,0.709562
279,0.710448
280,0.71072
281,0.710119
282,0.709364
283,0.710487
284,0.710305
285,0.709801
286,0.709275
287,0.712193
288,0.710962
289,0.709062
290,0.709893
291,0.710984
292,0.710925
293,0.709408
294,0.711401
295,0.71049
296,0.71197
297,0.71
298,0.711155
299,0.711275
300,0.710205
301,0.710644
302,0.710322
303,0.814782
304,0.712139
305,0.710862
306,0.710699
307,0.711638
308,0.71218
309,0.711113
310,0.711774
311,0.711091
312,0.710334
313,0.71157
314,0.711753
315,0.710175
316,0.711786
317,0.711264
318,0.712336
319,0.710528
320,0.711126
321,0.710602
322,0.709985
323,0.711282
324,0.711114
325,0.710899
326,0.711242
327,0.711708
328,0.71009
329,0.710559
330,0.711853
331,0.711158
332,0.710307
333,0.71159
334,0.711063
335,0.71102
336,0.710971
337,0.712263
338,0.71041
339,0.710623
340,0.712337
341,0.712223
342,0.711163
343,0.711031
344,0.712491
345,0.710829
346,0.711649
347,0.7154
348,0.710856
349,0.712187
350,0.711397
351,0.711014
352,0.711214
353,0.711673
354,0.710911
355,0.71184
356,0.711337
357,0.710509
358,0.711403
359,0.712064
360,0.712532
361,0.713836
362,0.711242
363,0.710546
364,0.711328
365,0.71121
366,0.711461
367,0.710445
368,0.711394
369,0.711152
370,0.710266
371,0.711559
372,0.712095
373,0.711087
374,0.711877
375,0.711523
376,0.710135
377,0.710339
378,0.711865
379,0.710986
380,0.710132
381,0.710169
382,0.711667
383,0.711119
384,0.710214
385,0.711391
386,0.712061
387,0.710252
388,0.711726
389,0.711465
390,0.711417
391,0.711318
392,0.711475
393,0.711726
394,0.711017
395,0.711808
396,0.712156
397,0.710273
398,0.710901
399,0.711039
400,0.710296
401,0.711185
402,0.711303
403,0.710026
404,0.819578
405,0.709942
406,0.710793
407,0.71134
408,0.710446
409,0.710355
410,0.71107
411,0.711135
412,0.71119
413,0.711145
414,0.710937
415,0.713118
416,0.711374
417,0.711752
418,0.710097
419,0.710337
420,0.711511
421,0.711232
422,0.710239
423,0.711207
424,0.712145
425,0.710046
426,0.710635
427,0.710941
428,0.711412
429,0.711493
430,0.711713
431,0.711257
432,0.710317
433,0.714292
434,0.711259
435,0.710117
436,0.711301
437,0.711172
438,0.711196
439,0.710772
440,0.711523
441,0.710687
442,0.710833
443,0.711649
444,0.711614
445,0.709748
446,0.710817
447,0.710961
448,0.712873
449,0.710306
450,0.710964
451,0.711112
452,0.711985
453,0.711176
454,0.711286
455,0.710709
456,0.710911
457,0.711412
458,0.711092
459,0.710453
460,0.710925
461,0.711234
462,0.710317
463,0.711593
464,0.711435
465,0.710921
466,0.710806
