,durations_s
0,0.267883
1,0.074354
2,0.070317
3,0.070228
4,0.070576
5,0.070296
6,0.070234
7,0.070134
8,0.069801
9,0.069655
10,0.069981
11,0.069611
12,0.069767
13,0.069533
14,0.069896
15,0.069507
16,0.069531
17,0.069355
18,0.069569
19,0.069729
20,0.069569
21,0.069624
22,0.069687
23,0.069679
24,0.069523
25,0.069521
26,0.069719
27,0.069549
28,0.070038
29,0.06957
30,0.069547
31,0.069485
32,0.06943
33,0.069529
34,0.069604
35,0.069631
36,0.069505
37,0.069702
38,0.069667
39,0.06946
40,0.069498
41,0.069547
42,0.070064
43,0.069634
44,0.06946
45,0.069741
46,0.06961
47,0.069535
48,0.069383
49,0.069467
50,0.06952
51,0.06951
52,0.069465
53,0.069639
54,0.069468
55,0.069515
56,0.069551
57,0.071617
58,0.0699
59,0.069577
60,0.069638
61,0.069673
62,0.069582
63,0.06938
64,0.06952
65,0.069388
66,0.069537
67,0.069513
68,0.069782
69,0.069712
70,0.069877
71,0.069844
72,0.069559
73,0.069714
74,0.069792
75,0.069516
76,0.069544
77,0.069678
78,0.06965
79,0.069543
80,0.069403
81,0.069645
82,0.069534
83,0.069463
84,0.06949
85,0.069571
86,0.069553
87,0.069588
88,0.069608
89,0.069575
90,0.069954
91,0.069498
92,0.069451
93,0.069473
94,0.069492
95,0.069485
96,0.069394
97,0.069284
98,0.069512
99,0.069622
100,0.071634
101,0.071165
102,0.070632
103,0.07098
104,0.070957
105,0.070693
106,0.070868
107,0.071076
108,0.07076
109,0.070664
110,0.070777
111,0.071092
112,0.070782
113,0.07067
114,0.070848
115,0.070871
116,0.070817
117,0.071081
118,0.070909
119,0.071113
120,0.071152
121,0.070858
122,0.07118
123,0.070946
124,0.070981
125,0.071084
126,0.071102
127,0.07088
128,0.070922
129,0.072103
130,0.071623
131,0.071168
132,0.071056
133,0.071067
134,0.070899
135,0.07097
136,0.071052
137,0.070835
138,0.071136
139,0.071126
140,0.070805
141,0.070671
142,0.070886
143,0.071137
144,0.070854
145,0.070855
146,0.071185
147,0.071035
148,0.070943
149,0.070958
150,0.070842
151,0.070931
152,0.070859
153,0.070815
154,0.071023
155,0.070846
156,0.070943
157,0.070814
158,0.0709
159,0.070855
160,0.070852
161,0.070935
162,0.070797
163,0.07093
164,0.070883
165,0.071162
166,0.070772
167,0.070712
168,0.070871
169,0.070842
170,0.070993
171,0.070738
172,0.070744
173,0.070895
174,0.070848
175,0.070862
176,0.070697
177,0.070707
178,0.070955
179,0.071031
180,0.070849
181,0.071017
182,0.070739
183,0.070729
184,0.070939
185,0.072527
186,0.072101
187,0.070667
188,0.070848
189,0.070786
190,0.07079
191,0.070801
192,0.07075
193,0.070762
194,0.070808
195,0.070807
196,0.070992
197,0.07093
198,0.070759
199,0.071076
200,0.070857
201,0.070704
202,0.07096
203,0.070761
204,0.070801
205,0.070815
206,0.070894
207,0.070787
208,0.070927
209,0.070748
210,0.070782
211,0.070765
212,0.071066
213,0.071158
214,0.0709
215,0.071036
216,0.070937
217,0.070879
218,0.071016
219,0.070727
220,0.070879
221,0.070906
222,0.070925
223,0.070675
224,0.070783
225,0.070901
226,0.070996
227,0.070878
228,0.070944
229,0.071058
230,0.070886
231,0.071228
232,0.070777
233,0.070877
234,0.071186
235,0.070851
236,0.076838
237,0.07096
238,0.07105
239,0.070998
240,0.070847
241,0.07089
242,0.071795
243,0.071021
244,0.071022
245,0.071072
246,0.070776
247,0.070864
248,0.070979
249,0.07099
250,0.071244
251,0.071212
252,0.070848
253,0.070963
254,0.07094
255,0.070882
256,0.07077
257,0.07096
258,0.070985
259,0.071249
260,0.070945
261,0.07122
262,0.070845
263,0.070976
264,0.071001
265,0.070887
266,0.070971
267,0.070874
268,0.070938
269,0.070805
270,0.070964
271,0.070829
272,0.070901
273,0.070781
274,0.070972
275,0.070801
276,0.070904
277,0.071154
278,0.07086
279,0.0709
280,0.070971
281,0.070951
282,0.07098
283,0.070925
284,0.070948
285,0.070886
286,0.07084
287,0.070885
288,0.07079
289,0.070797
290,0.070972
291,0.070969
292,0.070903
293,0.071148
294,0.07078
295,0.071099
296,0.071141
297,0.07116
298,0.071289
299,0.072562
300,0.070907
301,0.070934
302,0.071007
303,0.070737
304,0.07089
305,0.070829
306,0.070964
307,0.070823
308,0.070873
309,0.070834
310,0.070881
311,0.070822
312,0.071126
313,0.070881
314,0.070913
315,0.070955
316,0.070945
317,0.070643
318,0.070905
319,0.070732
320,0.070709
321,0.070688
322,0.070767
323,0.070865
324,0.070844
325,0.07104
326,0.070944
327,0.070899
328,0.070923
329,0.070757
330,0.070772
331,0.07082
332,0.070738
333,0.070747
334,0.070777
335,0.070784
336,0.070735
337,0.070758
338,0.070769
339,0.070923
340,0.070806
341,0.070737
342,0.07078
343,0.07061
344,0.070813
345,0.070915
346,0.070753
347,0.07069
348,0.070778
349,0.070668
350,0.070759
351,0.070575
352,0.070615
353,0.07053
354,0.070702
355,0.073587
356,0.070861
357,0.07069
358,0.070734
359,0.070544
360,0.070721
361,0.07076
362,0.070675
363,0.070898
364,0.070825
365,0.070712
366,0.070728
367,0.070773
368,0.070585
369,0.07138
370,0.070734
371,0.070799
372,0.070823
373,0.070831
374,0.070543
375,0.070945
376,0.070741
377,0.070784
378,0.070803
379,0.070712
380,0.070674
381,0.070753
382,0.070807
383,0.070645
384,0.07078
385,0.070932
386,0.070822
387,0.070844
388,0.070791
389,0.070825
390,0.070697
391,0.070806
392,0.070887
393,0.070871
394,0.070847
395,0.070762
396,0.070801
397,0.070844
398,0.070798
399,0.070903
400,0.070863
401,0.070807
402,0.071104
403,0.070702
404,0.070919
405,0.07082
406,0.07084
407,0.070825
408,0.070941
409,0.070817
410,0.070902
411,0.070974
412,0.071264
413,0.07125
414,0.070782
415,0.070636
416,0.070676
417,0.070679
418,0.070887
419,0.070706
420,0.071187
421,0.07077
422,0.070776
423,0.070761
424,0.071075
425,0.070961
426,0.070863
427,0.070849
428,0.070883
429,0.070889
430,0.070846
431,0.070659
432,0.070645
433,0.070723
434,0.07087
435,0.070781
436,0.070877
437,0.070886
438,0.070845
439,0.070895
440,0.070976
441,0.070901
442,0.07074
443,0.070738
444,0.070883
445,0.07094
446,0.070675
447,0.070698
448,0.070699
449,0.070724
450,0.070836
451,0.070866
452,0.070812
453,0.070839
454,0.070806
455,0.0707
456,0.070836
457,0.070781
458,0.070934
459,0.070671
460,0.070894
461,0.070964
462,0.070657
463,0.070606
464,0.070734
465,0.070677
466,0.070758
467,0.070728
468,0.070724
469,0.07077
470,0.070699
471,0.07068
472,0.070871
473,0.070727
474,0.070953
475,0.070743
476,0.070978
477,0.070884
478,0.070839
479,0.07082
480,0.070673
481,0.070804
482,0.070692
483,0.070781
