,durations_s
0,0.264372
1,0.072009
2,0.067299
3,0.066873
4,0.066701
5,0.066684
6,0.066592
7,0.06676
8,0.066662
9,0.066646
10,0.066901
11,0.066863
12,0.066776
13,0.066611
14,0.066861
15,0.067262
16,0.066667
17,0.0668
18,0.066627
19,0.066404
20,0.068702
21,0.066823
22,0.066784
23,0.066539
24,0.066516
25,0.066731
26,0.066741
27,0.066921
28,0.066868
29,0.067511
30,0.067231
31,0.066632
32,0.06673
33,0.066736
34,0.066585
35,0.066434
36,0.066509
37,0.06643
38,0.066721
39,0.066691
40,0.066705
41,0.066795
42,0.066761
43,0.06685
44,0.066632
45,0.066568
46,0.066539
47,0.066905
48,0.067107
49,0.066586
50,0.066583
51,0.066515
52,0.066675
53,0.066574
54,0.066531
55,0.066699
56,0.066789
57,0.066549
58,0.066858
59,0.066784
60,0.066836
61,0.066889
62,0.06676
63,0.067184
64,0.066715
65,0.066828
66,0.06903
67,0.067436
68,0.066543
69,0.06669
70,0.066564
71,0.066754
72,0.066724
73,0.06651
74,0.066841
75,0.067084
76,0.066588
77,0.066598
78,0.066555
79,0.066717
80,0.066775
81,0.066697
82,0.066772
83,0.066532
84,0.070572
85,0.066887
86,0.06667
87,0.066115
88,0.065818
89,0.065838
90,0.067069
91,0.06649
92,0.066615
93,0.066449
94,0.066934
95,0.066546
96,0.066511
97,0.06672
98,0.066707
99,0.066366
100,0.068712
101,0.067826
102,0.067759
103,0.067821
104,0.068052
105,0.067832
106,0.067985
107,0.06779
108,0.067742
109,0.067837
110,0.068037
111,0.067945
112,0.068863
113,0.067851
114,0.068181
115,0.068133
116,0.0678
117,0.068024
118,0.067955
119,0.067972
120,0.068208
121,0.067969
122,0.068456
123,0.068202
124,0.067841
125,0.067968
126,0.067993
127,0.068006
128,0.068064
129,0.068163
130,0.068026
131,0.068038
132,0.068256
133,0.0681
134,0.06826
135,0.068272
136,0.068341
137,0.068731
138,0.068622
139,0.068145
140,0.068066
141,0.06828
142,0.068131
143,0.068074
144,0.068057
145,0.067976
146,0.068337
147,0.068067
148,0.068215
149,0.067985
150,0.068188
151,0.068017
152,0.067972
153,0.068257
154,0.068219
155,0.068989
156,0.068202
157,0.068049
158,0.068048
159,0.068057
160,0.067976
161,0.067911
162,0.068036
163,0.068126
164,0.067949
165,0.067932
166,0.067971
167,0.067898
168,0.067977
169,0.067773
170,0.068148
171,0.068007
172,0.067955
173,0.067888
174,0.067946
175,0.067775
176,0.068094
177,0.067821
178,0.067953
179,0.067791
180,0.068011
181,0.067877
182,0.067808
183,0.067979
184,0.067937
185,0.067967
186,0.068284
187,0.06787
188,0.067947
189,0.067923
190,0.067902
191,0.068138
192,0.067961
193,0.06773
194,0.06789
195,0.067826
196,0.068255
197,0.067989
198,0.068066
199,0.067797
200,0.068021
201,0.067876
202,0.06833
203,0.067993
204,0.067764
205,0.067862
206,0.06803
207,0.068051
208,0.068144
209,0.068204
210,0.067993
211,0.067764
212,0.068099
213,0.068113
214,0.068099
215,0.0681
216,0.068198
217,0.06809
218,0.068245
219,0.068053
220,0.068048
221,0.068203
222,0.067987
223,0.067957
224,0.068236
225,0.068216
226,0.069005
227,0.068929
228,0.067911
229,0.067944
230,0.067969
231,0.067901
232,0.067881
233,0.068035
234,0.068331
235,0.068009
236,0.067908
237,0.06801
238,0.067973
239,0.067956
240,0.070923
241,0.068197
242,0.067918
243,0.068187
244,0.06834
245,0.068033
246,0.06809
247,0.068301
248,0.068077
249,0.068112
250,0.068703
251,0.068136
252,0.06794
253,0.068314
254,0.068195
255,0.068383
256,0.067984
257,0.068011
258,0.06809
259,0.067898
260,0.067935
261,0.069141
262,0.070022
263,0.068077
264,0.067893
265,0.068026
266,0.068286
267,0.068265
268,0.067942
269,0.067986
270,0.068176
271,0.068053
272,0.06814
273,0.068087
274,0.068256
275,0.067939
276,0.068132
277,0.06791
278,0.068073
279,0.068219
280,0.068119
281,0.067911
282,0.068183
283,0.068144
284,0.068008
285,0.068192
286,0.067971
287,0.068207
288,0.06819
289,0.06817
290,0.068232
291,0.068062
292,0.068083
293,0.068035
294,0.068089
295,0.068042
296,0.067879
297,0.069174
298,0.068545
299,0.067914
300,0.06809
301,0.067942
302,0.068371
303,0.068019
304,0.068192
305,0.068052
306,0.067987
307,0.067964
308,0.068159
309,0.068144
310,0.068075
311,0.068308
312,0.067978
313,0.068032
314,0.068495
315,0.068136
316,0.067979
317,0.067972
318,0.068089
319,0.067823
320,0.068056
321,0.068037
322,0.06804
323,0.067745
324,0.068042
325,0.068029
326,0.068188
327,0.067718
328,0.067972
329,0.068158
330,0.068383
331,0.068008
332,0.067946
333,0.067955
334,0.068035
335,0.067923
336,0.068126
337,0.067907
338,0.067866
339,0.068513
340,0.067871
341,0.067951
342,0.06792
343,0.06794
344,0.068169
345,0.067878
346,0.068279
347,0.067841
348,0.068166
349,0.068393
350,0.068072
351,0.067788
352,0.067891
353,0.067907
354,0.067866
355,0.067811
356,0.067844
357,0.067883
358,0.067917
359,0.068029
360,0.067896
361,0.067984
362,0.068185
363,0.067877
364,0.067799
365,0.06808
366,0.067954
367,0.068076
368,0.068963
369,0.068949
370,0.068213
371,0.067942
372,0.067782
373,0.067854
374,0.068049
375,0.067796
376,0.068033
377,0.068002
378,0.06805
379,0.067944
380,0.067867
381,0.067983
382,0.067964
383,0.068194
384,0.067899
385,0.068022
386,0.068004
387,0.067987
388,0.068002
389,0.067927
390,0.068209
391,0.067996
392,0.068108
393,0.068016
394,0.068168
395,0.067911
396,0.068161
397,0.068036
398,0.068213
399,0.067984
400,0.068316
401,0.068351
402,0.068052
403,0.068216
404,0.068255
405,0.068203
406,0.067989
407,0.068027
408,0.068395
409,0.067971
410,0.068195
411,0.067932
412,0.067974
413,0.067909
414,0.068176
415,0.068039
416,0.067983
417,0.068013
418,0.068156
419,0.067959
420,0.067964
421,0.067968
422,0.068115
423,0.06812
424,0.06802
425,0.067862
426,0.068397
427,0.067945
428,0.067854
429,0.068055
430,0.067882
431,0.068144
432,0.067939
433,0.067999
434,0.067965
435,0.067874
436,0.06801
437,0.068104
438,0.069574
439,0.069757
440,0.068082
441,0.068247
442,0.068116
443,0.068097
444,0.068139
445,0.068099
446,0.068053
447,0.068171
448,0.068024
449,0.067995
450,0.068026
451,0.068041
452,0.067885
453,0.067681
454,0.068115
455,0.067821
456,0.067907
457,0.067897
458,0.068139
459,0.068068
460,0.067966
461,0.067957
462,0.067827
463,0.067873
464,0.067902
465,0.067866
466,0.068145
467,0.067733
468,0.06768
