,timestamp
0,2025-08-29T18:40:06.102764
1,2025-08-29T18:40:06.356028
2,2025-08-29T18:40:06.611110
3,2025-08-29T18:40:06.875899
4,2025-08-29T18:40:07.137786
5,2025-08-29T18:40:07.402673
6,2025-08-29T18:40:07.665425
7,2025-08-29T18:40:07.923045
8,2025-08-29T18:40:08.186379
9,2025-08-29T18:40:08.448539
10,2025-08-29T18:40:08.709803
11,2025-08-29T18:40:08.986383
12,2025-08-29T18:40:09.278074
13,2025-08-29T18:40:09.555064
14,2025-08-29T18:40:09.843105
15,2025-08-29T18:40:10.127862
16,2025-08-29T18:40:10.405146
17,2025-08-29T18:40:10.694590
18,2025-08-29T18:40:10.980196
19,2025-08-29T18:40:11.266105
20,2025-08-29T18:40:11.532315
21,2025-08-29T18:40:11.833019
22,2025-08-29T18:40:12.128129
23,2025-08-29T18:40:12.377551
24,2025-08-29T18:40:12.677723
25,2025-08-29T18:40:12.941669
26,2025-08-29T18:40:13.229974
27,2025-08-29T18:40:13.525181
28,2025-08-29T18:40:13.768698
29,2025-08-29T18:40:14.068498
30,2025-08-29T18:40:14.344351
31,2025-08-29T18:40:14.643644
32,2025-08-29T18:40:14.866007
33,2025-08-29T18:40:15.123755
34,2025-08-29T18:40:15.396325
35,2025-08-29T18:40:15.668992
36,2025-08-29T18:40:15.925425
37,2025-08-29T18:40:16.191300
38,2025-08-29T18:40:16.459573
39,2025-08-29T18:40:16.718256
40,2025-08-29T18:40:16.985027
41,2025-08-29T18:40:17.246598
42,2025-08-29T18:40:17.507551
43,2025-08-29T18:40:17.797335
44,2025-08-29T18:40:18.080846
45,2025-08-29T18:40:18.325827
46,2025-08-29T18:40:18.619221
47,2025-08-29T18:40:18.888094
48,2025-08-29T18:40:19.156891
49,2025-08-29T18:40:19.429089
50,2025-08-29T18:40:19.691752
51,2025-08-29T18:40:19.974673
52,2025-08-29T18:40:20.259577
53,2025-08-29T18:40:20.533920
54,2025-08-29T18:40:20.828158
55,2025-08-29T18:40:21.127789
56,2025-08-29T18:40:21.403884
57,2025-08-29T18:40:21.701556
58,2025-08-29T18:40:22.004905
59,2025-08-29T18:40:22.303284
60,2025-08-29T18:40:22.615232
61,2025-08-29T18:40:22.909020
62,2025-08-29T18:40:23.199598
63,2025-08-29T18:40:23.490625
64,2025-08-29T18:40:23.795354
65,2025-08-29T18:40:24.090752
66,2025-08-29T18:40:24.376439
67,2025-08-29T18:40:24.675671
68,2025-08-29T18:40:24.960322
69,2025-08-29T18:40:25.260861
70,2025-08-29T18:40:25.530410
71,2025-08-29T18:40:25.828770
72,2025-08-29T18:40:26.099662
73,2025-08-29T18:40:26.371595
74,2025-08-29T18:40:26.631249
75,2025-08-29T18:40:26.904128
76,2025-08-29T18:40:27.190101
77,2025-08-29T18:40:27.470692
78,2025-08-29T18:40:27.751235
79,2025-08-29T18:40:28.049148
80,2025-08-29T18:40:28.343995
81,2025-08-29T18:40:28.632850
82,2025-08-29T18:40:28.930698
83,2025-08-29T18:40:29.224738
84,2025-08-29T18:40:29.504624
85,2025-08-29T18:40:29.795075
86,2025-08-29T18:40:30.085493
87,2025-08-29T18:40:30.364934
88,2025-08-29T18:40:30.668382
89,2025-08-29T18:40:30.935094
90,2025-08-29T18:40:31.247301
91,2025-08-29T18:40:31.554596
92,2025-08-29T18:40:31.832552
93,2025-08-29T18:40:32.130338
94,2025-08-29T18:40:32.425693
95,2025-08-29T18:40:32.706976
96,2025-08-29T18:40:32.993932
97,2025-08-29T18:40:33.293914
98,2025-08-29T18:40:33.583573
99,2025-08-29T18:40:33.874834
100,2025-08-29T18:40:34.165761
101,2025-08-29T18:40:34.465351
102,2025-08-29T18:40:34.750592
103,2025-08-29T18:40:35.043571
104,2025-08-29T18:40:35.338181
105,2025-08-29T18:40:35.629566
106,2025-08-29T18:40:35.901083
107,2025-08-29T18:40:36.172014
108,2025-08-29T18:40:36.438823
109,2025-08-29T18:40:36.702142
110,2025-08-29T18:40:36.976875
111,2025-08-29T18:40:37.239067
112,2025-08-29T18:40:37.506222
113,2025-08-29T18:40:37.797255
114,2025-08-29T18:40:38.086300
115,2025-08-29T18:40:38.376475
116,2025-08-29T18:40:38.677953
117,2025-08-29T18:40:38.970978
118,2025-08-29T18:40:39.270053
119,2025-08-29T18:40:39.528019
120,2025-08-29T18:40:39.837708
121,2025-08-29T18:40:40.062123
122,2025-08-29T18:40:40.320297
123,2025-08-29T18:40:40.594050
124,2025-08-29T18:40:40.866558
125,2025-08-29T18:40:41.135110
126,2025-08-29T18:40:41.402407
127,2025-08-29T18:40:41.677735
128,2025-08-29T18:40:41.941995
129,2025-08-29T18:40:42.212287
130,2025-08-29T18:40:42.479432
131,2025-08-29T18:40:42.746460
132,2025-08-29T18:40:43.010344
133,2025-08-29T18:40:43.279033
134,2025-08-29T18:40:43.549945
135,2025-08-29T18:40:43.813036
136,2025-08-29T18:40:44.077159
137,2025-08-29T18:40:44.345252
138,2025-08-29T18:40:44.612812
139,2025-08-29T18:40:44.879574
140,2025-08-29T18:40:45.146690
141,2025-08-29T18:40:45.412702
142,2025-08-29T18:40:45.676796
143,2025-08-29T18:40:45.945501
144,2025-08-29T18:40:46.214144
145,2025-08-29T18:40:46.480921
146,2025-08-29T18:40:46.762544
147,2025-08-29T18:40:47.050452
148,2025-08-29T18:40:47.332584
149,2025-08-29T18:40:47.595316
150,2025-08-29T18:40:47.879304
151,2025-08-29T18:40:48.126618
152,2025-08-29T18:40:48.405846
153,2025-08-29T18:40:48.673566
154,2025-08-29T18:40:48.957812
155,2025-08-29T18:40:49.245894
156,2025-08-29T18:40:49.534751
157,2025-08-29T18:40:49.831321
158,2025-08-29T18:40:50.102863
159,2025-08-29T18:40:50.373377
160,2025-08-29T18:40:50.641875
161,2025-08-29T18:40:50.910298
162,2025-08-29T18:40:51.182789
163,2025-08-29T18:40:51.450456
164,2025-08-29T18:40:51.709257
165,2025-08-29T18:40:51.978261
166,2025-08-29T18:40:52.242590
167,2025-08-29T18:40:52.508426
168,2025-08-29T18:40:52.776799
169,2025-08-29T18:40:53.045137
170,2025-08-29T18:40:53.306360
171,2025-08-29T18:40:53.576545
172,2025-08-29T18:40:53.843281
173,2025-08-29T18:40:54.109111
174,2025-08-29T18:40:54.376677
175,2025-08-29T18:40:54.644654
176,2025-08-29T18:40:54.910302
177,2025-08-29T18:40:55.178359
178,2025-08-29T18:40:55.447183
179,2025-08-29T18:40:55.709563
180,2025-08-29T18:40:55.978222
181,2025-08-29T18:40:56.251727
182,2025-08-29T18:40:56.511449
183,2025-08-29T18:40:56.785252
184,2025-08-29T18:40:57.056003
185,2025-08-29T18:40:57.313010
186,2025-08-29T18:40:57.583587
187,2025-08-29T18:40:57.854625
188,2025-08-29T18:40:58.119807
189,2025-08-29T18:40:58.388433
190,2025-08-29T18:40:58.663153
191,2025-08-29T18:40:58.931706
192,2025-08-29T18:40:59.196762
193,2025-08-29T18:40:59.467351
194,2025-08-29T18:40:59.734918
195,2025-08-29T18:41:00.004064
196,2025-08-29T18:41:00.276860
197,2025-08-29T18:41:00.546131
198,2025-08-29T18:41:00.811286
199,2025-08-29T18:41:01.080938
200,2025-08-29T18:41:01.352275
201,2025-08-29T18:41:01.620273
202,2025-08-29T18:41:01.894558
203,2025-08-29T18:41:02.166182
204,2025-08-29T18:41:02.435896
205,2025-08-29T18:41:02.702073
206,2025-08-29T18:41:02.989799
207,2025-08-29T18:41:03.287636
208,2025-08-29T18:41:03.591040
209,2025-08-29T18:41:03.895446
210,2025-08-29T18:41:04.189998
211,2025-08-29T18:41:04.437765
212,2025-08-29T18:41:04.712101
213,2025-08-29T18:41:04.988479
214,2025-08-29T18:41:05.262363
215,2025-08-29T18:41:05.534868
216,2025-08-29T18:41:05.804294
217,2025-08-29T18:41:06.072868
218,2025-08-29T18:41:06.341083
219,2025-08-29T18:41:06.609468
220,2025-08-29T18:41:06.881412
221,2025-08-29T18:41:07.154035
222,2025-08-29T18:41:07.420307
223,2025-08-29T18:41:07.687212
224,2025-08-29T18:41:07.979870
225,2025-08-29T18:41:08.263915
226,2025-08-29T18:41:08.558578
227,2025-08-29T18:41:08.863112
228,2025-08-29T18:41:09.116364
229,2025-08-29T18:41:09.430642
230,2025-08-29T18:41:09.712013
231,2025-08-29T18:41:09.977235
232,2025-08-29T18:41:10.250317
233,2025-08-29T18:41:10.515830
234,2025-08-29T18:41:10.799697
235,2025-08-29T18:41:11.077928
236,2025-08-29T18:41:11.347316
237,2025-08-29T18:41:11.609891
238,2025-08-29T18:41:11.880667
239,2025-08-29T18:41:12.154298
240,2025-08-29T18:41:12.422267
241,2025-08-29T18:41:12.692095
242,2025-08-29T18:41:12.980011
243,2025-08-29T18:41:13.268027
244,2025-08-29T18:41:13.566789
245,2025-08-29T18:41:13.828062
246,2025-08-29T18:41:14.097744
247,2025-08-29T18:41:14.378777
248,2025-08-29T18:41:14.648983
249,2025-08-29T18:41:14.915996
250,2025-08-29T18:41:15.190639
251,2025-08-29T18:41:15.464705
252,2025-08-29T18:41:15.739158
253,2025-08-29T18:41:16.040302
254,2025-08-29T18:41:16.327991
255,2025-08-29T18:41:16.625474
256,2025-08-29T18:41:16.919690
257,2025-08-29T18:41:17.155825
258,2025-08-29T18:41:17.433237
259,2025-08-29T18:41:17.702931
260,2025-08-29T18:41:17.985367
261,2025-08-29T18:41:18.249980
262,2025-08-29T18:41:18.504588
263,2025-08-29T18:41:18.778535
264,2025-08-29T18:41:19.048259
265,2025-08-29T18:41:19.309381
266,2025-08-29T18:41:19.554685
267,2025-08-29T18:41:19.837689
268,2025-08-29T18:41:20.113676
269,2025-08-29T18:41:20.395758
270,2025-08-29T18:41:20.663241
271,2025-08-29T18:41:20.926729
272,2025-08-29T18:41:21.193843
273,2025-08-29T18:41:21.466144
274,2025-08-29T18:41:21.720283
275,2025-08-29T18:41:21.990989
276,2025-08-29T18:41:22.258694
277,2025-08-29T18:41:22.537686
278,2025-08-29T18:41:22.832309
279,2025-08-29T18:41:23.134606
280,2025-08-29T18:41:23.433926
281,2025-08-29T18:41:23.731544
282,2025-08-29T18:41:24.029875
283,2025-08-29T18:41:24.329432
284,2025-08-29T18:41:24.630005
285,2025-08-29T18:41:24.869980
286,2025-08-29T18:41:25.149541
287,2025-08-29T18:41:25.423600
288,2025-08-29T18:41:25.706878
289,2025-08-29T18:41:26.011083
290,2025-08-29T18:41:26.315263
291,2025-08-29T18:41:26.613052
292,2025-08-29T18:41:26.904986
293,2025-08-29T18:41:27.212460
294,2025-08-29T18:41:27.510459
295,2025-08-29T18:41:27.809416
296,2025-08-29T18:41:28.079376
297,2025-08-29T18:41:28.354724
298,2025-08-29T18:41:28.640467
299,2025-08-29T18:41:28.897810
300,2025-08-29T18:41:29.181924
301,2025-08-29T18:41:29.458608
302,2025-08-29T18:41:29.726568
303,2025-08-29T18:41:29.994936
304,2025-08-29T18:41:30.268647
305,2025-08-29T18:41:30.539357
306,2025-08-29T18:41:30.807471
307,2025-08-29T18:41:31.080200
308,2025-08-29T18:41:31.375192
309,2025-08-29T18:41:31.673158
310,2025-08-29T18:41:31.977849
311,2025-08-29T18:41:32.277727
312,2025-08-29T18:41:32.575216
313,2025-08-29T18:41:32.873849
314,2025-08-29T18:41:33.172197
315,2025-08-29T18:41:33.465842
316,2025-08-29T18:41:33.756569
317,2025-08-29T18:41:34.055319
318,2025-08-29T18:41:34.350675
319,2025-08-29T18:41:34.652746
320,2025-08-29T18:41:34.947975
321,2025-08-29T18:41:35.249468
322,2025-08-29T18:41:35.520522
323,2025-08-29T18:41:35.826600
324,2025-08-29T18:41:36.126512
325,2025-08-29T18:41:36.424289
326,2025-08-29T18:41:36.722238
327,2025-08-29T18:41:37.023371
328,2025-08-29T18:41:37.326784
329,2025-08-29T18:41:37.629813
330,2025-08-29T18:41:37.922925
331,2025-08-29T18:41:38.179076
332,2025-08-29T18:41:38.457605
333,2025-08-29T18:41:38.734732
334,2025-08-29T18:41:39.008148
335,2025-08-29T18:41:39.292608
336,2025-08-29T18:41:39.566273
337,2025-08-29T18:41:39.841614
338,2025-08-29T18:41:40.098617
