,durations_s
0,0.510834
1,0.232643
2,0.24884
3,0.253474
4,0.258244
5,0.251444
6,0.251004
7,0.248981
8,0.25438
9,0.252655
10,0.251182
11,0.251086
12,0.251362
13,0.250272
14,0.251226
15,0.25202
16,0.250862
17,0.252418
18,0.255418
19,0.252194
20,0.255085
21,0.254283
22,0.252198
23,0.252001
24,0.250267
25,0.244241
26,0.257453
27,0.253974
28,0.255034
29,0.250282
30,0.251708
31,0.254059
32,0.253068
33,0.257366
34,0.253597
35,0.250666
36,0.256765
37,0.25006
38,0.252654
39,0.245375
40,0.26173
41,0.255393
42,0.253684
43,0.250868
44,0.252202
45,0.251879
46,0.254983
47,0.25268
48,0.254677
49,0.254982
50,0.253951
51,0.257229
52,0.249849
53,0.254194
54,0.251304
55,0.25512
56,0.253063
57,0.257845
58,0.252325
59,0.25231
60,0.25304
61,0.252577
62,0.254969
63,0.253893
64,0.253585
65,0.252729
66,0.258354
67,0.253059
68,0.253431
69,0.254118
70,0.253703
71,0.25399
72,0.254867
73,0.256976
74,0.253632
75,0.253891
76,0.248831
77,0.257798
78,0.254739
79,0.261276
80,0.25138
81,0.259956
82,0.255785
83,0.260836
84,0.25553
85,0.253703
86,0.255653
87,0.261442
88,0.255104
89,0.259573
90,0.261985
91,0.247708
92,0.258234
93,0.241181
94,0.259011
95,0.258581
96,0.253229
97,0.254058
98,0.255121
99,0.256191
100,0.253292
101,0.252627
102,0.255577
103,0.253605
104,0.25659
105,0.255828
106,0.257371
107,0.252813
108,0.258118
109,0.256621
110,0.257497
111,0.254574
112,0.253447
113,0.254309
114,0.259026
115,0.252779
116,0.253045
117,0.253956
118,0.25639
119,0.252251
120,0.255859
121,0.252591
122,0.254827
123,0.257039
124,0.250116
125,0.254468
126,0.25571
127,0.258124
128,0.256633
129,0.25573
130,0.254644
131,0.25942
132,0.253187
133,0.257063
134,0.254698
135,0.256357
136,0.255538
137,0.253948
138,0.253055
139,0.257576
140,0.260337
141,0.261785
142,0.25435
143,0.259682
144,0.255092
145,0.25761
146,0.251907
147,0.256521
148,0.254797
149,0.252211
150,0.258031
151,0.25355
152,0.25679
153,0.255844
154,0.252882
155,0.253939
156,0.258927
157,0.258844
158,0.254041
159,0.256087
160,0.254433
161,0.256224
162,0.254755
163,0.258261
164,0.256242
165,0.256079
166,0.258522
167,0.255224
168,0.255205
169,0.252665
170,0.257213
171,0.255289
172,0.255684
173,0.251006
174,0.254393
175,0.256162
176,0.253321
177,0.257833
178,0.253872
179,0.254739
180,0.256848
181,0.255315
182,0.225359
183,0.268158
184,0.25537
185,0.264063
186,0.254994
187,0.25261
188,0.255108
189,0.252982
190,0.2574
191,0.255676
192,0.258018
193,0.252028
194,0.257217
195,0.25268
196,0.254052
197,0.254986
198,0.257256
199,0.257621
200,0.258476
201,0.26142
202,0.252103
203,0.258
204,0.258948
205,0.257281
206,0.260102
207,0.254504
208,0.255767
209,0.252353
210,0.256805
211,0.254098
212,0.258328
213,0.255989
214,0.258268
215,0.252369
216,0.253425
217,0.259864
218,0.257124
219,0.256704
220,0.255893
221,0.250934
222,0.25421
223,0.256736
224,0.261056
225,0.259482
226,0.258855
227,0.26333
228,0.256846
229,0.266152
230,0.255048
231,0.257824
232,0.258854
233,0.255968
234,0.259327
235,0.252536
236,0.256653
237,0.253074
238,0.255664
239,0.25368
240,0.256648
241,0.257629
242,0.255673
243,0.258251
244,0.257677
245,0.259438
246,0.253309
247,0.256855
248,0.256665
249,0.25788
250,0.256223
251,0.255676
252,0.256942
253,0.258896
254,0.265729
255,0.257276
256,0.254771
257,0.251227
258,0.252574
259,0.266583
260,0.260903
261,0.254335
262,0.260442
263,0.253765
264,0.253897
265,0.255587
266,0.259251
267,0.255297
268,0.256165
269,0.255075
270,0.254767
271,0.255728
272,0.254678
273,0.260593
