,durations_s
0,0.574012
1,0.282613
2,0.276226
3,0.286171
4,0.309058
5,0.288112
6,0.307194
7,0.290155
8,0.260348
9,0.270915
10,0.278339
11,0.270796
12,0.277394
13,0.30207
14,0.274908
15,0.309689
16,0.213927
17,0.284342
18,0.277554
19,0.243592
20,0.273131
21,0.279325
22,0.268976
23,0.280692
24,0.299083
25,0.263283
26,0.297385
27,0.298786
28,0.282623
29,0.277038
30,0.254863
31,0.308064
32,0.281072
33,0.29348
34,0.275592
35,0.293848
36,0.292708
37,0.292008
38,0.292034
39,0.26627
40,0.292607
41,0.300264
42,0.286219
43,0.289809
44,0.30093
45,0.298621
46,0.294829
47,0.292699
48,0.302283
49,0.293324
50,0.284085
51,0.294637
52,0.231817
53,0.265435
54,0.269754
55,0.274133
56,0.289565
57,0.285664
58,0.294361
59,0.302281
60,0.293662
61,0.299025
62,0.287892
63,0.301968
64,0.276846
65,0.300995
66,0.301317
67,0.291192
68,0.275447
69,0.26486
70,0.26121
71,0.27036
72,0.278265
73,0.269441
74,0.263686
75,0.266768
76,0.266366
77,0.269324
78,0.270618
79,0.269676
80,0.263127
81,0.271734
82,0.274725
83,0.254093
84,0.271793
85,0.26857
86,0.266716
87,0.271326
88,0.238932
89,0.277233
90,0.28205
91,0.27849
92,0.263565
93,0.269169
94,0.274282
95,0.276191
96,0.272196
97,0.267299
98,0.275618
99,0.265544
100,0.271172
101,0.268423
102,0.27233
103,0.263643
104,0.278023
105,0.288582
106,0.271177
107,0.266601
108,0.271434
109,0.276847
110,0.266983
111,0.266825
112,0.270837
113,0.271395
114,0.265281
115,0.276593
116,0.273936
117,0.26946
118,0.273815
119,0.27595
120,0.27288
121,0.273884
122,0.212858
123,0.288084
124,0.275254
125,0.278827
126,0.269324
127,0.272308
128,0.271156
129,0.275761
130,0.269971
131,0.264194
132,0.270967
133,0.275814
134,0.262362
135,0.273531
136,0.274249
137,0.269266
138,0.280986
139,0.271864
140,0.275414
141,0.266557
142,0.267884
143,0.273214
144,0.277677
145,0.262709
146,0.28542
147,0.269755
148,0.276007
149,0.266834
150,0.267471
151,0.268931
152,0.270019
153,0.272255
154,0.272364
155,0.27362
156,0.270856
157,0.273599
158,0.270286
159,0.261387
160,0.27653
161,0.280704
162,0.276288
163,0.265021
164,0.279415
165,0.274791
166,0.276347
167,0.265438
168,0.272649
169,0.274676
170,0.259358
171,0.268424
172,0.276157
173,0.265348
174,0.274719
175,0.27392
176,0.274305
177,0.264847
178,0.273099
179,0.282395
180,0.271229
181,0.276569
182,0.271946
183,0.273255
184,0.267455
185,0.276453
186,0.281283
187,0.278461
188,0.266737
189,0.271205
190,0.276596
191,0.272541
192,0.257439
193,0.27591
194,0.275141
195,0.270321
196,0.273647
197,0.274364
198,0.277666
199,0.273226
200,0.273302
201,0.272162
202,0.269925
203,0.259693
204,0.276395
205,0.278806
206,0.275973
207,0.269716
208,0.272905
209,0.272906
210,0.27279
211,0.271358
212,0.300146
213,0.259504
214,0.272547
215,0.304494
216,0.301767
217,0.296516
218,0.295143
219,0.302015
220,0.283262
221,0.303225
222,0.26833
223,0.279884
224,0.27822
225,0.265028
226,0.284476
227,0.277251
228,0.272863
229,0.27612
230,0.293834
231,0.272217
232,0.273668
233,0.246267
234,0.29172
235,0.278957
236,0.295738
237,0.291248
238,0.265845
239,0.327621
240,0.295664
241,0.292735
242,0.283991
243,0.304697
244,0.295406
245,0.302644
246,0.30116
247,0.308453
248,0.286896
249,0.31011
250,0.220702
251,0.238632
252,0.295103
253,0.281763
254,0.296174
255,0.294926
256,0.30867
257,0.312355
258,0.30248
259,0.305113
260,0.288383
261,0.294288
262,0.305067
263,0.304288
264,0.321151
265,0.293182
266,0.296732
267,0.312729
268,0.308333
269,0.30124
270,0.253774
271,0.284632
272,0.273655
273,0.276662
274,0.286434
275,0.277107
276,0.271045
277,0.269036
278,0.27482
279,0.278638
280,0.274484
281,0.269884
282,0.270209
283,0.281306
284,0.272836
285,0.267216
286,0.279244
287,0.277851
288,0.277056
289,0.269585
290,0.276853
291,0.280621
292,0.310042
293,0.270106
294,0.271597
295,0.273603
296,0.304572
297,0.305794
298,0.305441
299,0.316876
300,0.300952
301,0.297855
302,0.306022
303,0.28697
304,0.309008
305,0.295088
306,0.307996
307,0.267444
308,0.243515
309,0.287024
310,0.271399
311,0.282982
312,0.271217
313,0.274115
314,0.267913
315,0.273395
316,0.277978
317,0.27681
318,0.267822
319,0.273488
320,0.276071
321,0.274419
322,0.278079
323,0.282158
324,0.285445
325,0.271962
326,0.25849
327,0.279144
328,0.280288
329,0.271711
330,0.271781
331,0.270178
332,0.276966
333,0.27101
334,0.270776
335,0.275763
336,0.272967
337,0.264304
338,0.277605
339,0.274685
340,0.27892
341,0.268216
342,0.27531
343,0.273451
344,0.273695
345,0.268287
346,0.273917
347,0.269744
348,0.262787
349,0.278308
350,0.282922
351,0.272101
352,0.270597
353,0.278209
354,0.278277
355,0.272101
356,0.269613
357,0.284991
358,0.286477
359,0.272802
360,0.269446
361,0.267315
362,0.281775
363,0.279538
364,0.26282
365,0.271013
366,0.273657
367,0.27635
368,0.269369
369,0.280897
370,0.277488
371,0.272665
372,0.266756
373,0.276188
374,0.279565
375,0.274645
376,0.273399
377,0.277032
378,0.279155
379,0.266451
380,0.268503
381,0.274849
382,0.278975
383,0.268027
384,0.276034
385,0.279847
386,0.279805
387,0.27361
388,0.269581
389,0.275118
390,0.275968
391,0.27051
392,0.272373
393,0.28207
394,0.276371
395,0.274683
396,0.269523
397,0.274791
398,0.273725
399,0.266918
400,0.273383
401,0.274318
402,0.273076
403,0.271874
404,0.27766
405,0.276855
406,0.272235
407,0.261557
408,0.276173
409,0.284091
410,0.266055
411,0.274328
412,0.275561
413,0.27547
414,0.270397
415,0.270316
416,0.276768
417,0.281775
418,0.261415
419,0.281128
420,0.27667
421,0.277356
422,0.26667
423,0.27393
424,0.297183
425,0.293736
426,0.315262
427,0.307147
428,0.310389
429,0.307578
430,0.30519
431,0.302645
432,0.304431
433,0.275468
434,0.277532
435,0.293033
436,0.279165
437,0.266458
438,0.266931
439,0.275895
440,0.275501
441,0.272546
442,0.273896
443,0.272824
444,0.273423
445,0.274184
446,0.269634
447,0.297787
448,0.305474
449,0.311657
450,0.315909
451,0.306693
452,0.277825
453,0.277483
454,0.278369
455,0.271478
456,0.275267
457,0.272009
458,0.275148
459,0.271637
460,0.270802
461,0.2816
462,0.287339
463,0.259039
464,0.272714
465,0.276534
466,0.289405
467,0.2618
468,0.273519
469,0.2764
470,0.279972
471,0.264483
472,0.27509
473,0.275059
474,0.278903
475,0.270888
476,0.272602
477,0.279279
478,0.279495
479,0.26489
480,0.277329
481,0.280088
482,0.274953
483,0.27063
484,0.269288
485,0.311723
486,0.305868
487,0.3063
488,0.314137
489,0.307461
490,0.272436
491,0.279726
492,0.274411
493,0.278878
494,0.275621
495,0.27133
496,0.27774
497,0.273121
498,0.272897
499,0.273264
