,durations_s,timestamps
0,0.382318,2025-08-29T18:11:21.841007
1,0.064449,2025-08-29T18:11:21.906470
2,0.070098,2025-08-29T18:11:21.977959
3,0.078157,2025-08-29T18:11:22.058650
4,0.082989,2025-08-29T18:11:22.144365
5,0.086415,2025-08-29T18:11:22.232743
6,0.074242,2025-08-29T18:11:22.308821
7,0.068868,2025-08-29T18:11:22.379627
8,0.068547,2025-08-29T18:11:22.448242
9,0.059992,2025-08-29T18:11:22.508293
10,0.060247,2025-08-29T18:11:22.568596
11,0.057245,2025-08-29T18:11:22.625905
12,0.057353,2025-08-29T18:11:22.683325
13,0.059417,2025-08-29T18:11:22.742803
14,0.057032,2025-08-29T18:11:22.799901
15,0.057514,2025-08-29T18:11:22.857474
16,0.057882,2025-08-29T18:11:22.915412
17,0.056422,2025-08-29T18:11:22.971895
18,0.057871,2025-08-29T18:11:23.029822
19,0.057052,2025-08-29T18:11:23.086932
20,0.057672,2025-08-29T18:11:23.144664
21,0.059308,2025-08-29T18:11:23.204030
22,0.058492,2025-08-29T18:11:23.262580
23,0.057506,2025-08-29T18:11:23.320141
24,0.057935,2025-08-29T18:11:23.378135
25,0.057293,2025-08-29T18:11:23.435500
26,0.058132,2025-08-29T18:11:23.493689
27,0.057535,2025-08-29T18:11:23.551284
28,0.05878,2025-08-29T18:11:23.610118
29,0.05704,2025-08-29T18:11:23.667224
30,0.059309,2025-08-29T18:11:23.726597
31,0.057475,2025-08-29T18:11:23.784131
32,0.058847,2025-08-29T18:11:23.843035
33,0.057551,2025-08-29T18:11:23.900644
34,0.058137,2025-08-29T18:11:23.958839
35,0.057897,2025-08-29T18:11:24.016797
36,0.057477,2025-08-29T18:11:24.074345
37,0.066032,2025-08-29T18:11:24.140446
38,0.057205,2025-08-29T18:11:24.197713
39,0.067587,2025-08-29T18:11:24.265362
40,0.062196,2025-08-29T18:11:24.327615
41,0.056829,2025-08-29T18:11:24.384514
42,0.065513,2025-08-29T18:11:24.450097
43,0.062545,2025-08-29T18:11:24.512711
44,0.057587,2025-08-29T18:11:24.570354
45,0.057312,2025-08-29T18:11:24.627726
46,0.058121,2025-08-29T18:11:24.685930
47,0.060509,2025-08-29T18:11:24.746508
48,0.057642,2025-08-29T18:11:24.804207
49,0.057388,2025-08-29T18:11:24.861661
50,0.066284,2025-08-29T18:11:24.928130
51,0.063966,2025-08-29T18:11:24.992186
52,0.05782,2025-08-29T18:11:25.050068
53,0.057755,2025-08-29T18:11:25.107878
54,0.058024,2025-08-29T18:11:25.165971
